empreendimento,ano,mes,ano_mes,produto,id_produto,safra,uf,municipio,cod_ibge,unidade_comercializacao,vlr_custo_variavel_ha,vlr_custo_variavel_unidade,vlr_custo_fixo_ha,vlr_custo_fixo_unidade,vlr_renda_fator_ha,vlr_renda_fator_unidade
AGRICULTURA EMPRESARIAL                 ,2018,1,201801,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4565.34,99.58,1076.76,23.5,1353.94,29.54
AGRICULTURA EMPRESARIAL                 ,2018,1,201801,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,1956.98,19.59,235.43,2.35,372.8,3.73
AGRICULTURA EMPRESARIAL                 ,2018,3,201803,CAFE                                    ,7498,TODAS                                   ,ES,VENDA NOVA DO IMIGRANTE-ES                        ,3205069,60 kg   ,10501.4,350.02,814.59,27.15,631.22,21.05
AGRICULTURA EMPRESARIAL                 ,2018,3,201803,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4403.06,96.08,1625.78,35.48,1510.69,32.96
AGRICULTURA EMPRESARIAL                 ,2018,3,201803,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,1967.59,19.71,236.22,2.35,389.22,3.89
AGRICULTURA EMPRESARIAL                 ,2018,5,201805,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4378.01,95.53,999.68,21.8,1284.1,28.01
AGRICULTURA EMPRESARIAL                 ,2018,5,201805,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2023.01,20.27,239.51,2.39,385.37,3.85
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,CAFE                                    ,7090,TODAS                                   ,BA,ITABELA-BA                                        ,2914653,60 kg   ,15885.67,219.11,1306.53,18.03,401.42,5.54
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,CAFE                                    ,7498,TODAS                                   ,BA,LUÍS EDUARDO MAGALHÃES-BA                         ,2919553,60 kg   ,11154.5,223.13,2553.38,51.06,1396.53,27.93
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,CAFE                                    ,7498,TODAS                                   ,ES,VENDA NOVA DO IMIGRANTE-ES                        ,3205069,60 kg   ,9676.87,322.54,749.8,25.0,566.42,18.89
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,CAFE                                    ,7498,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,60 kg   ,13687.76,248.84,2982.04,54.23,1538.08,27.97
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,CAFE                                    ,7498,TODAS                                   ,MG,GUAXUPÉ-MG                                        ,3128709,60 kg   ,12258.17,408.6,1278.7,42.62,1233.41,41.12
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,CAFE                                    ,7498,TODAS                                   ,MG,PATROCÍNIO-MG                                     ,3148103,60 kg   ,11130.65,337.28,2084.8,63.17,2136.21,64.73
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,CAFE                                    ,7498,TODAS                                   ,SP,FRANCA-SP                                         ,3516200,60 kg   ,11070.01,369.02,1016.81,33.9,1946.73,64.89
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4438.56,96.84,874.65,19.08,1127.36,24.6
AGRICULTURA EMPRESARIAL                 ,2018,7,201807,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2087.88,20.89,240.99,2.4,350.73,3.51
AGRICULTURA EMPRESARIAL                 ,2018,9,201809,CAFE                                    ,7498,TODAS                                   ,SP,FRANCA-SP                                         ,3516200,60 kg   ,11030.24,367.67,1004.47,33.48,1923.46,64.12
AGRICULTURA EMPRESARIAL                 ,2018,9,201809,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4398.24,95.96,874.65,19.08,1118.08,24.4
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,CAFE                                    ,7090,TODAS                                   ,BA,ITABELA-BA                                        ,2914653,60 kg   ,15773.15,217.55,1278.21,17.64,367.98,5.08
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,CAFE                                    ,7498,TODAS                                   ,BA,LUÍS EDUARDO MAGALHÃES-BA                         ,2919553,60 kg   ,11243.73,224.87,2557.39,51.14,1283.65,25.67
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,CAFE                                    ,7498,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,60 kg   ,14021.16,254.95,3125.78,56.83,1446.23,26.3
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,CAFE                                    ,7498,TODAS                                   ,MG,GUAXUPÉ-MG                                        ,3128709,60 kg   ,12274.08,409.14,1297.01,43.24,1134.06,37.8
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,CAFE                                    ,7498,TODAS                                   ,MG,PATROCÍNIO-MG                                     ,3148103,60 kg   ,11312.98,342.8,2092.3,63.4,1963.57,59.5
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,CAFE                                    ,7498,TODAS                                   ,SP,FRANCA-SP                                         ,3516200,60 kg   ,12132.13,404.45,1033.84,34.46,1616.16,53.88
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4539.05,99.03,884.55,19.29,1036.12,22.6
AGRICULTURA EMPRESARIAL                 ,2018,11,201811,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2172.16,21.73,266.67,2.68,327.64,3.28
AGRICULTURA EMPRESARIAL                 ,2019,1,201901,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4605.08,100.46,896.93,19.56,1036.12,22.6
AGRICULTURA EMPRESARIAL                 ,2019,1,201901,MILHO                                   ,4742,2ª SAFRA                                ,MT,PRIMAVERA DO LESTE-MT                             ,5107040,60 kg   ,2155.41,21.57,261.09,2.62,327.64,3.28
AGRICULTURA EMPRESARIAL                 ,2019,1,201901,TRIGO                                   ,11191,TODAS                                   ,PR,UBIRATÃ-PR                                        ,4128005,60 kg   ,1862.92,37.26,830.59,16.61,1095.6,21.91
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,ALGODAO EM PLUMA                        ,11182,TODAS                                   ,MS,CHAPADÃO DO SUL-MS                                ,5002951,15 kg   ,8649.52,72.08,1410.73,11.76,693.73,5.78
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,ARROZ                                   ,11159,TODAS                                   ,RS,PELOTAS-RS                                        ,4314407,50 kg   ,5799.22,36.24,1708.23,10.68,362.42,2.27
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,ARROZ                                   ,11159,TODAS                                   ,RS,SANTO ANTÔNIO DA PATRULHA-RS                      ,4317608,50 kg   ,6053.31,40.36,734.95,4.9,1093.29,7.29
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7090,TODAS                                   ,BA,ITABELA-BA                                        ,2914653,60 kg   ,16090.19,221.93,1323.36,18.25,340.27,4.69
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,BA,LUÍS EDUARDO MAGALHÃES-BA                         ,2919553,60 kg   ,11338.18,226.76,2563.1,51.26,1182.27,23.65
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,GO,CRISTALINA-GO                                     ,5206206,60 kg   ,13978.26,254.15,3105.81,56.47,1317.89,23.96
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,MG,PATROCÍNIO-MG                                     ,3148103,60 kg   ,11550.03,350.0,2115.66,64.11,1816.93,55.06
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,CAFE                                    ,7498,TODAS                                   ,SP,FRANCA-SP                                         ,3516200,60 kg   ,12212.62,407.09,1047.78,34.93,1488.76,49.63
AGRICULTURA EMPRESARIAL                 ,2019,3,201903,FEIJAO COMUM CORES                      ,8778,TODAS                                   ,SP,TAQUARITUBA-SP                                    ,3553807,60 kg   ,4899.31,106.9,970.5,21.17,998.67,21.79
