ano_agricola,dsc_safra_previsao,uf,produto,id_produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t
1976/77             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,99.3,6.0,0.1
1976/77             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,123.4,7.0,0.1
1976/77             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,1296.0,70.0,0.1
1976/77             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,73.1,28.2,0.4
1976/77             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,44.4,2.0,0.0
1976/77             ,UNICA          ,MG,ALGODAO EM PLUMA                        ,4586,116.2,30.9,0.3
1976/77             ,UNICA          ,MS,ALGODAO EM PLUMA                        ,4586,68.4,15.7,0.2
1976/77             ,UNICA          ,PB,ALGODAO EM PLUMA                        ,4586,666.7,35.0,0.1
1976/77             ,UNICA          ,PE,ALGODAO EM PLUMA                        ,4586,300.9,25.0,0.1
1976/77             ,UNICA          ,PI,ALGODAO EM PLUMA                        ,4586,141.2,4.0,0.0
1976/77             ,UNICA          ,PR,ALGODAO EM PLUMA                        ,4586,290.4,137.9,0.5
1976/77             ,UNICA          ,RN,ALGODAO EM PLUMA                        ,4586,559.9,30.0,0.1
1976/77             ,UNICA          ,SE,ALGODAO EM PLUMA                        ,4586,15.9,1.0,0.1
1976/77             ,UNICA          ,SP,ALGODAO EM PLUMA                        ,4586,300.1,194.2,0.6
1977/78             ,UNICA          ,AL,ALGODAO EM PLUMA                        ,4586,62.8,5.3,0.1
1977/78             ,UNICA          ,BA,ALGODAO EM PLUMA                        ,4586,130.2,12.0,0.1
1977/78             ,UNICA          ,CE,ALGODAO EM PLUMA                        ,4586,1294.0,79.6,0.1
1977/78             ,UNICA          ,GO,ALGODAO EM PLUMA                        ,4586,66.0,20.8,0.3
1977/78             ,UNICA          ,MA,ALGODAO EM PLUMA                        ,4586,47.1,2.7,0.1
